1662,HISSAR,HARYANA
1663,HANSI,HARYANA
1664,BHIWANI,HARYANA
1666,SIRSA,HARYANA
1667,FATEHABAD,HARYANA
1668,DABWALI,HARYANA
1669,ADAMPUR MANDI,HARYANA
1672,SANGRUR,PUNJAB
1675,MALERKOTLA,PUNJAB
1676,SUNAM,PUNJAB
1679,BARNALA,PUNJAB
1681,JIND,HARYANA
1682,ZIRA,PUNJAB
1683,JULANA,HARYANA
1684,NARWANA,HARYANA
1685,GURUHARSAHAI,PUNJAB
1686,SAFIDON,HARYANA
1692,TOHANA,HARYANA
1693,BARWALA,HARYANA
1696,KALANWALI,HARYANA
1697,RATIA,HARYANA
1698,ELLENABAD,HARYANA
1702,NAHAN,HIMACHAL 
1704,PAONTA,HIMACHAL 
1731,BARARA,HARYANA
1732,JAGADHARI,HARYANA
1733,KALKA,HARYANA
1734,NARAINGARH,HARYANA
1735,CHHACHRAULI,HARYANA
1741,PEHOWA,HARYANA
1743,CHEEKA,HARYANA
1744,KURUKSHETRA,HARYANA
1745,NILOKHERI,HARYANA
1746,KAITHAL,HARYANA
1748,GHARAUNDA,HARYANA
1749,ASSANDH,HARYANA
1762,RAJPURA,PUNJAB
1763,SARHIND,PUNJAB
1764,SAMANA,PUNJAB
1765,NABHA,PUNJAB
1781,ROHRU,HIMACHAL 
1782,RAMPUR BUSHAHAR,HIMACHAL 
1783,THEOG,HIMACHAL 
1785,POOH,HIMACHAL 
1786,KALPA,HIMACHAL 
1792,SOLAN,HIMACHAL 
1795,NALAGARH,HIMACHAL 
1796,ARKI,HIMACHAL 
1799,RAJGARH,HIMACHAL 
1821,NAKODAR,PUNJAB
1822,KAPURTHALA,PUNJAB
1823,NAWANSHAHAR,PUNJAB
1824,PHAGWARA,PUNJAB
1826,PHILLAUR,PUNJAB
1828,SULTANPUR LODHI,PUNJAB
1851,PATTI,PUNJAB
1852,TARAN TARAN,PUNJAB
1853,RAYYA,PUNJAB
1858,AJNALA,PUNJAB
1859,GOINDWAL,PUNJAB
1870,JUGIAL,PUNJAB
1871,BATALA,PUNJAB
1872,QUADIAN,PUNJAB
1874,GURDASPUR,PUNJAB
1875,DINANAGAR,PUNJAB
1881,ROPAR,PUNJAB
1882,HOSHIARPUR,PUNJAB
1883,DASUA,PUNJAB
1884,GARHASHANKER,PUNJAB
1885,BALACHAUR,PUNJAB
1886,TANDA URMAR,PUNJAB
1887,NANGAL,PUNJAB
1892,KANGRA,HIMACHAL 
1893,NURPUR,HIMACHAL 
1894,PALAMPUR,HIMACHAL 
1895,BHARMOUR,HIMACHAL 
1896,CHURAH,HIMACHAL 
1897,PANGI,HIMACHAL 
1899,CHAMBA,HIMACHAL 
1900,LAHUL,HIMACHAL 
1902,KULLU,HIMACHAL 
1903,BANJAR,HIMACHAL 
1904,NIRMAND,HIMACHAL 
1905,MANDI,HIMACHAL 
1906,SPITI,HIMACHAL 
1907,SUNDERNAGAR,HIMACHAL 
1908,JOGINDERNAGAR,HIMACHAL 
1909,UDAIPUR,HIMACHAL 
1921,BASHOLI,JAMMU KASHMIR
1922,KATHUA,JAMMU KASHMIR
1923,SAMBA,JAMMU KASHMIR
1924,AKHNOOR,JAMMU KASHMIR
1931,KULGAM,JAMMU KASHMIR
1932,ANANTNAG,JAMMU KASHMIR
1933,PULWAMA,JAMMU KASHMIR
1936,PAHALGAM,JAMMU KASHMIR
1951,BADGAM,JAMMU KASHMIR
1952,BARAMULLA,JAMMU KASHMIR
1955,KUPWARA,JAMMU KASHMIR
1957,BANDIPUR,JAMMU KASHMIR
1958,KARNAH,JAMMU KASHMIR
1960,NOWSHERA,JAMMU KASHMIR
1962,RAJOURI,JAMMU KASHMIR
1964,KALAKOT,JAMMU KASHMIR
1965,POONCH,JAMMU KASHMIR
1970,DEHRA GOPIPUR,HIMACHAL 
1972,HAMIRPUR,HIMACHAL 
1975,UNA,HIMACHAL 
1976,AMB,HIMACHAL 
1978,BILASPUR,HIMACHAL 
1980,NOBRA,JAMMU KASHMIR
1981,NYOMA,JAMMU KASHMIR
1982,LEH,JAMMU KASHMIR
1983,PADAM,JAMMU KASHMIR
1985,KARGIL,JAMMU KASHMIR
1990,RAMNAGAR,JAMMU KASHMIR
1991,REASI,JAMMU KASHMIR
1995,KISHTWAR,JAMMU KASHMIR
1996,DODA,JAMMU KASHMIR
1997,BEDARWAH,JAMMU KASHMIR
1998,RAMBAN,JAMMU KASHMIR
1999,MAHORE,JAMMU KASHMIR
2111,INDAPUR,MAHARASHTRA
